,phrases,labels
1058,oxide particles,Material
1059,constituent elements,Material
1060,mechanical alloying,Process
1061,consolidation,Process
1062,precipitates,Material
1063,reducing swelling,Task
1064,swelling,Process
1065,oxidation,Process
1066,Zirconium alloys,Material
1067,cladding,Material
1068,microstructure and electro-chemical processes,Process
1069,corrosion kinetics,Material
1070,link up of nano pores,Material
1071,Synchrotron X-Ray Diffraction,Process
1072,S-XRD,Process
1073,Zircaloy-4,Material
1074,oxides,Material
1075,monoclinic and stabilised tetragonal phases,Material
1076,∼7% reduction in the tetragonal phase,Material
1077,fuel pellets,Material
1078,water nuclear reactors,Material
1079,oxidation,Process
1080,oxidation of these alloys,Task
1081,alloys,Material
1082,oxidation,Process
1083,metal-oxide interface,Material
1084,oxidation,Process
1085,grain,Material
1086,metal/oxide interface,Material
1087,metal-oxide interface,Material
1088,tetragonal phase,Process
1089,phase transformation,Process
1090,fracture,Process
1091,metal-oxide interface,Material
1092,oxygen containing species,Material
1093,ingress,Process
1094,fabrication and microstructural characterisation of ODS steels processed by SPS,Task
1095,Spark plasma sintering,Process
1096,SPS,Process
1097,sintering-based technique,Process
1098,electrically and thermally conductive graphite mould and a large DC pulsed current (1000–5000A) is applied under a uniaxial pressure,Process
1099,SPS,Process
1100,SPS,Process
1101,hot pressing sintering,Process
1102,HIP,Process
1103,SPS,Process
1104,ODS steels,Material
1105,powder,Material
1106,powder,Material
1107,powder,Material
1108,powder material,Material
1109,mould,Material
1110,heating element,Material
1111,powder,Material
1112,powder consolidation maps,Process
1113,conventional methods,Process
1114,SPS,Process
1115,graphite mould,Material
1116,electrochemical reduction of uranium dioxide,Task
1117,electrochemical,Process
1118,synchrotron X-ray,Process
1119,uranium metal,Material
1120,lithium chloride–potassium chloride eutectic molten salt,Material
1121,uranium dioxide,Material
1122,molten salt,Material
1123,molten salt,Material
1124,cyclic voltammograms,Process
1125,EDXD data,Process
1126,electrochemical reduction,Process
1127,electrochemical reduction,Process
1128,UO2|U couple,Material
1129,uranium dioxide,Material
1130,"deduce the electrochemical reduction potential, mechanism and reduction pathway",Task
1131,oxide ions,Material
1132,uranium metal,Material
1133,electron,Material
1134,O2− ions,Material
1135,electroreduction,Process
1136,counter electrode,Material
1137,electrode,Material
1138,melt,Material
1139,electrode,Material
1140,O2− ions,Material
1141,electrode,Material
1142,oxide ions,Material
1143,melt,Material
1144,electrochemical reduction,Process
1145,electrodes,Material
1146,exploration of the microstructure of working electrodes,Task
1147,4-electron-step,Process
1148,3D model,Process
1149,anisotropic material properties,Task
1150,Abaqus,Process
1151,plasticity potential ratios,Process
1152,bimodal basal pole distribution,Process
1153,isotropic material properties,Task
1154,anisotropic elastic and plastic constants,Material
1155,zirconium grain,Material
1156,Zirconium,Material
1157,recrystallized Zircaloy-4,Material
1158,3D simulations,Process
1159,zirconium unit lattice,Material
1160,simulations,Process
1161,oxide layer,Material
1162,purely elastic material,Material
1163,oxide,Material
1164,oxide,Material
1165,simulations,Process
1166,Zirconium alloys,Material
1167,fuel cladding,Material
1168,Zr alloys,Material
1169,accident tolerant fuels,Material
1170,ATF,Material
1171,ATF,Material
1172,oxidation,Process
1173,disintegration of the fuel rods,Process
1174,develop accident tolerant fuels,Task
1175,enhancements in corrosion performance,Task
1176,fuel rods,Material
1177,oxidise,Process
1178,exothermic reaction,Process
1179,development of fuel assemblies,Task
1180,water cooled nuclear fission reactors,Material
1181,fuel assemblies,Material
1182,understanding of the morphology of the metal:oxide interface,Task
1183,transmission electron microscopy,Process
1184,TEM,Process
1185,atom probe tomography,Process
1186,Zr clads,Material
1187,modelling the rate of growth of oxide,Task
1188,oxide scale,Material
1189,top layers of the metal,Material
1190,oxidation,Process
1191,oxidation of the metal,Process
1192,nuclear power reactors,Material
1193,corrosion process,Process
1194,metal:oxide interface,Material
1195,oxide layer,Material
1196,Understanding why this transition behaviour happens,Task
1197,oxide,Material
1198,understanding of what is going on during oxidation,Task
1199,diffusion of oxygen,Process
1200,oxygen,Material
1201,structural and chemical changes,Process
1202,the metal,Material
1203,enthalpy increments,Material
1204,Solid pieces,Material
1205,Setaram Multi-detector High Temperature Calorimeter,Process
1206,MDHTC-96,Process
1207,drop detector,Process
1208,2–4 drops of Bi2UO6 samples,Material
1209,platinum ingots,Material
1210,reference material,Material
1211,platinum,Material
1212,Background subtraction and peak integration,Process
1213,corrected,Process
1214,high purity standard metals,Material
1215,calorimetric measurements,Process
1216,XRD,Process
1217,commercially available software for data processing,Material
1218,data processing,Task
1219,argon,Material
1220,measure the enthalpy increments,Process
1221,oxygen,Material
1222,isothermal run,Process
1223,compound,Material
1224,Sn,Material
1225,Pb,Material
1226,Zn,Material
1227,Al,Material
1228,Ag,Material
1229,Ni,Material
1230,heat flow,Process
1231,fluence of each capsule,Task
1232,activation monitor sets.,Material
1233,monitor sets,Material
1234,metal wire pieces,Material
1235,monitor,Material
1236,flux monitor,Material
1237,molybdenum,Material
1238,capsules,Material
1239,activation,Process
1240,capsule,Material
1241,capsule,Material
1242,flux monitor set,Material
1243,capsule,Material
1244,capsule,Material
1245,detector,Material
1246,capsules,Material
1247,determining the activation of each wire piece,Task
1248,wire piece,Material
1249,fluence,Process
1250,fluences,Process
1251,noble gas atoms,Material
1252,fuel matrix,Process
1253,fission,Process
1254,point defects trap sites,Process
1255,Schottky trivacancy defects,Process
1256,Diffusion,Process
1257,bubbles,Material
1258,grain boundaries,Material
1259,uranium,Material
1260,gas atom,Material
1261,‘hop’ into,Process
1262,loop around,Process
1263,diffusion,Process
1264,migration,Process
1265,Xe,Material
1266,VU,Material
1267,rearrangement,Process
1268,VU defect,Process
1269,Xe,Material
1270,Xe diffusion,Process
1271,Activation,Process
1272,defect trap sites,Process
1273,crystal stoichiometry,Process
1274,crystal,Material
1275,Xe,Material
1276,Xe diffusion,Process
1277,UO2−x,Material
1278,UO2,Material
1279,UO2+x,Material
1280,DFT,Process
1281,charge,Process
1282,Jahn–Teller distortion,Process
1283,empirical pair potentials,Process
1284,potential,Process
1285,potentials,Process
1286,UO2,Material
1287,U–Xe,Material
1288,O–Xe,Material
1289,"mechanisms by which He in a perfect body-centred-cubic (bcc) Fe lattice, can agglomerate into bubbles",Task
1290,Ferritic and martensitic steels,Material
1291,microstructural evolution of these steels under neutron irradiation,Task
1292,He interstitial clusters,Material
1293,molecular dynamics simulations,Process
1294,bubbles,Material
1295,bubbles,Material
1296,diffusion,Material
1297,Fe interstitials,Material
1298,He atoms,Material
1299,diffusion,Process
1300,induced strain,Process
1301,bcc lattice,Material
1302,bubbles,Material
1303,bubbles,Material
1304,bubble,Material
1305,lattice strain,Process
1306,nuclear reactors,Material
1307,transmutation-created inert gas,Material
1308,He,Material
1309,neutron irradiation,Process
1310,steels,Material
1311,He,Material
1312,bubbles,Material
1313,body-centred-cubic,Material
1314,bcc,Material
1315,Fe lattice,Material
1316,bubble,Material
1317,bubble enlargement,Process
1318,radiation induced mechanisms,Process
1319,reduce the lattice strain,Task
1320,bubble,Material
1321,Emission of interracial loops,Process
1322,core design modifications that optimised the total sodium void reactivity,Task
1323,modifications in the core geometry,Process
1324,pan-cake geometry of the active core region,Process
1325,design solutions,Process
1326,enlarged sodium plenum,Process
1327,absorber layer,Process
1328,reduce neutron backscattering,Process
1329,core region,Material
1330,neutron leakage,Process
1331,neutron,Material
1332,sodium,Material
1333,sodium plenum,Material
1334,core,Material
1335,sodium plenum,Material
1336,reduce neutron backscattering from the reflector region above the plenum,Task
1337,plenum,Material
1338,upper plenum,Material
1339,absorber and boron layers,Material
1340,reactivity reduction,Process
1341,sodium plenum,Material
1342,boron layer,Material
1343,increase in the sub-assembly length,Process
1344,reducing the upper axial reflector width,Task
1345,axial reflector,Material
1346,increase of the layer's thickness,Process
1347,improve the heating transfer,Task
1348,monitored by six dedicated thermocouples,Process
1349,Na,Material
1350,Na,Material
1351,Na bath,Material
1352,sample holders,Material
1353,sodium boiling,Process
1354,sodium,Material
1355,Na surface,Material
1356,oxidation,Process
1357,high-purity He,Material
1358,TRIO wet channel,Material
1359,solid formation,Process
1360,gas circulation,Process
1361,gas,Material
1362,fission and gamma absorption,Process
1363,gas,Material
1364,Geomagnetic jerks,Process
1365,Earth’s magnetic field,Material
1366,Jerks,Process
1367,geomagnetic secular variation,Process
1368,SV,Process
1369,secular variation,Process
1370,main magnetic field,Material
1371,magnetic field,Material
